CallPut,Greek,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
C,delta_emp,1451014,0.686123633,4.129519648,-250,-1.89013523,-0.061728285,0.125284743,0.819804761,0.994144913,1.428435795,4.573170732,304.9999237
C,gamma_emp,1451014,-2.918804443,177.8167568,-25082.85495,-10.28628784,-0.410920997,-0.014395838,-0.000629526,0.004148306,0.119427716,1.395045823,20060.62322
C,Delta,1451014,0.66382277,0.388959825,0.001048957,0.003153264,0.00713949,0.232947923,0.90094623,0.977512762,0.995405757,0.998669788,0.999985814
C,Gamma,1451014,0.001940636,0.00304341,2.10E-09,8.10E-06,3.58E-05,0.000220488,0.000802916,0.002434971,0.007522796,0.014624051,0.120237596
P,delta_emp,1648058,-0.324170781,2.676797052,-295.0000763,-2.630646901,-1.113404215,-0.641453339,-0.051092405,-0.001804727,0.154685987,1.682099001,279.9999237
P,gamma_emp,1648058,-1.905933923,115.9513455,-28985.64963,-7.157951225,-0.339520158,-0.012274796,-0.000861975,0.001247268,0.036107185,0.417030828,8180.259607
P,Delta,1648058,-0.282270759,0.37329939,-0.999989808,-0.994113863,-0.977339679,-0.603208616,-0.04876982,-0.007660271,-0.001796177,-0.000914825,-0.000317958
P,Gamma,1648058,0.001734115,0.002904624,1.32E-08,7.69E-06,2.24E-05,0.00013555,0.00060732,0.002150902,0.007012325,0.013936959,0.119881801
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
