Date,Days,CallPut,n_points,n_mono_viol,n_conv_viol,n_conv_interp,n_conv_extrap,flag_mono_ok,flag_conv_ok,flag_conv_interp_ok,flag_conv_extrap_ok
2003-01-02,30,P,15,0,3,0,0,True,False,True,True
2003-01-03,30,P,15,0,2,0,0,True,False,True,True
2003-01-06,30,P,14,0,2,0,0,True,False,True,True
2003-01-22,30,C,12,1,1,0,0,False,False,True,True
2003-01-22,30,P,15,0,2,0,0,True,False,True,True
2003-02-19,30,P,30,0,3,0,0,True,False,True,True
2003-03-03,30,P,14,0,2,0,0,True,False,True,True
2003-03-19,30,P,21,0,5,0,0,True,False,True,True
2003-03-27,30,P,12,0,1,0,0,True,False,True,True
2003-04-01,30,P,16,0,3,0,0,True,False,True,True
2003-04-02,30,P,13,0,1,0,0,True,False,True,True
2003-04-07,30,P,13,0,2,0,0,True,False,True,True
2003-04-08,30,P,13,0,1,0,0,True,False,True,True
2003-04-16,30,P,22,1,3,0,0,False,False,True,True
2003-05-29,30,P,13,0,2,0,0,True,False,True,True
2003-06-03,30,P,15,0,2,0,0,True,False,True,True
2003-06-04,30,P,15,0,2,0,0,True,False,True,True
2003-06-05,30,P,16,1,2,0,0,False,False,True,True
2003-06-06,30,P,12,0,1,0,0,True,False,True,True
2003-06-10,30,P,12,0,1,0,0,True,False,True,True
2003-06-18,30,P,13,0,1,0,0,True,False,True,True
2003-06-26,30,P,13,0,2,0,0,True,False,True,True
2003-06-27,30,P,13,0,1,0,0,True,False,True,True
2003-06-30,30,P,13,0,2,0,0,True,False,True,True
2003-07-01,30,P,13,0,1,0,0,True,False,True,True
2003-07-02,30,P,10,0,1,0,0,True,False,True,True
2003-07-03,30,P,12,0,1,0,0,True,False,True,True
2003-07-16,30,P,14,0,2,0,0,True,False,True,True
2003-08-28,30,P,16,0,2,0,0,True,False,True,True
2003-08-29,30,P,13,0,1,0,0,True,False,True,True
2003-09-05,30,P,14,0,1,0,0,True,False,True,True
2003-10-02,30,P,14,0,3,0,0,True,False,True,True
2003-10-03,30,P,11,0,1,0,0,True,False,True,True
2003-10-07,30,P,10,0,1,0,0,True,False,True,True
2003-10-22,30,P,14,0,2,0,0,True,False,True,True
2003-10-30,30,P,10,0,1,0,0,True,False,True,True
2003-10-31,30,P,12,0,1,0,0,True,False,True,True
2003-11-03,30,P,14,1,3,0,0,False,False,True,True
2003-11-06,30,P,12,0,1,0,0,True,False,True,True
2003-11-07,30,P,9,0,1,0,0,True,False,True,True
2003-11-19,30,P,15,0,2,0,0,True,False,True,True
2003-11-28,30,P,12,1,2,0,0,False,False,True,True
2003-12-01,30,P,16,0,2,0,0,True,False,True,True
2003-12-02,30,P,16,0,3,0,0,True,False,True,True
2003-12-03,30,P,14,0,2,0,0,True,False,True,True
2003-12-08,30,P,11,0,1,0,0,True,False,True,True
2003-12-09,30,P,11,0,1,0,0,True,False,True,True
2003-12-17,30,P,24,0,1,0,0,True,False,True,True
2004-01-02,30,P,15,0,2,0,0,True,False,True,True
2004-01-05,30,P,12,0,1,0,0,True,False,True,True
2004-01-06,30,P,12,0,2,0,0,True,False,True,True
2004-01-21,30,P,17,2,4,0,0,False,False,True,True
2004-02-02,30,P,10,0,1,0,0,True,False,True,True
2004-02-03,30,P,10,0,1,0,0,True,False,True,True
2004-02-05,30,P,10,0,1,0,0,True,False,True,True
2004-02-10,30,P,8,0,1,0,0,True,False,True,True
2004-02-18,30,P,17,0,1,0,0,True,False,True,True
2004-02-26,30,P,12,0,3,0,0,True,False,True,True
2004-03-01,30,P,11,0,3,0,0,True,False,True,True
2004-03-02,30,P,11,0,2,0,0,True,False,True,True
