Date,T1,T2,dist_below,dist_above,has_below,has_above,year,valid_for_interp
2003-01-02,15.0,50,15.0,20,True,True,2003,True
2003-01-03,14.0,49,16.0,19,True,True,2003,True
2003-01-06,11.0,46,19.0,16,True,True,2003,True
2003-01-07,10.0,45,20.0,15,True,True,2003,True
2003-01-08,9.0,44,21.0,14,True,True,2003,True
2003-01-09,8.0,43,22.0,13,True,True,2003,True
2003-01-10,7.0,42,23.0,12,True,True,2003,True
2003-01-13,4.0,39,26.0,9,True,True,2003,True
2003-01-14,3.0,38,27.0,8,True,True,2003,True
2003-01-15,2.0,37,28.0,7,True,True,2003,True
2003-01-16,,36,,6,False,True,2003,False
2003-01-17,,35,,5,False,True,2003,False
2003-01-21,,31,,1,False,True,2003,False
2003-01-22,,58,,28,False,True,2003,False
2003-01-23,29.0,57,1.0,27,True,True,2003,True
2003-01-24,28.0,56,2.0,26,True,True,2003,True
2003-01-27,25.0,53,5.0,23,True,True,2003,True
2003-01-28,24.0,52,6.0,22,True,True,2003,True
2003-01-29,23.0,51,7.0,21,True,True,2003,True
2003-01-30,22.0,50,8.0,20,True,True,2003,True
2003-01-31,21.0,49,9.0,19,True,True,2003,True
2003-02-03,18.0,46,12.0,16,True,True,2003,True
2003-02-04,17.0,45,13.0,15,True,True,2003,True
2003-02-05,16.0,44,14.0,14,True,True,2003,True
2003-02-06,15.0,43,15.0,13,True,True,2003,True
2003-02-07,14.0,42,16.0,12,True,True,2003,True
2003-02-10,11.0,39,19.0,9,True,True,2003,True
2003-02-11,10.0,38,20.0,8,True,True,2003,True
2003-02-12,9.0,37,21.0,7,True,True,2003,True
2003-02-13,8.0,36,22.0,6,True,True,2003,True
2003-02-14,7.0,35,23.0,5,True,True,2003,True
2003-02-18,3.0,31,27.0,1,True,True,2003,True
2003-02-19,2.0,58,28.0,28,True,True,2003,True
2003-02-20,29.0,57,1.0,27,True,True,2003,True
2003-02-21,28.0,56,2.0,26,True,True,2003,True
2003-02-24,25.0,53,5.0,23,True,True,2003,True
2003-02-25,24.0,52,6.0,22,True,True,2003,True
2003-02-26,23.0,51,7.0,21,True,True,2003,True
2003-02-27,22.0,50,8.0,20,True,True,2003,True
2003-02-28,21.0,49,9.0,19,True,True,2003,True
2003-03-03,18.0,46,12.0,16,True,True,2003,True
2003-03-04,17.0,45,13.0,15,True,True,2003,True
2003-03-05,16.0,44,14.0,14,True,True,2003,True
2003-03-06,15.0,43,15.0,13,True,True,2003,True
2003-03-07,14.0,42,16.0,12,True,True,2003,True
2003-03-10,11.0,39,19.0,9,True,True,2003,True
2003-03-11,10.0,38,20.0,8,True,True,2003,True
2003-03-12,9.0,37,21.0,7,True,True,2003,True
2003-03-13,8.0,36,22.0,6,True,True,2003,True
2003-03-14,7.0,35,23.0,5,True,True,2003,True
2003-03-17,4.0,32,26.0,2,True,True,2003,True
2003-03-18,3.0,31,27.0,1,True,True,2003,True
2003-03-19,2.0,58,28.0,28,True,True,2003,True
2003-03-20,29.0,57,1.0,27,True,True,2003,True
2003-03-21,28.0,56,2.0,26,True,True,2003,True
2003-03-24,25.0,53,5.0,23,True,True,2003,True
2003-03-25,24.0,52,6.0,22,True,True,2003,True
2003-03-26,23.0,51,7.0,21,True,True,2003,True
2003-03-27,22.0,50,8.0,20,True,True,2003,True
2003-03-28,21.0,49,9.0,19,True,True,2003,True
2003-03-31,18.0,46,12.0,16,True,True,2003,True
2003-04-01,17.0,45,13.0,15,True,True,2003,True
2003-04-02,16.0,44,14.0,14,True,True,2003,True
2003-04-03,15.0,43,15.0,13,True,True,2003,True
2003-04-04,14.0,42,16.0,12,True,True,2003,True
2003-04-07,11.0,39,19.0,9,True,True,2003,True
2003-04-08,10.0,38,20.0,8,True,True,2003,True
2003-04-09,9.0,37,21.0,7,True,True,2003,True
2003-04-10,8.0,36,22.0,6,True,True,2003,True
2003-04-11,7.0,35,23.0,5,True,True,2003,True
2003-04-14,4.0,32,26.0,2,True,True,2003,True
2003-04-15,3.0,31,27.0,1,True,True,2003,True
2003-04-16,2.0,65,28.0,35,True,True,2003,True
2003-04-17,29.0,64,1.0,34,True,True,2003,True
2003-04-21,25.0,60,5.0,30,True,True,2003,True
2003-04-22,24.0,59,6.0,29,True,True,2003,True
2003-04-23,23.0,58,7.0,28,True,True,2003,True
2003-04-24,22.0,57,8.0,27,True,True,2003,True
2003-04-25,21.0,56,9.0,26,True,True,2003,True
2003-04-28,18.0,53,12.0,23,True,True,2003,True
2003-04-29,17.0,52,13.0,22,True,True,2003,True
2003-04-30,16.0,51,14.0,21,True,True,2003,True
