year,total_slices,mono_bad,conv_bad,conv_interp_bad,conv_extrap_bad,mono_bad_pct,conv_bad_pct,conv_interp_bad_pct,conv_extrap_bad_pct
2003,192,0,0,0,0,0.0,0.0,0.0,0.0
2004,186,7,0,0,0,3.763440860215054,0.0,0.0,0.0
2005,192,10,0,0,0,5.208333333333333,0.0,0.0,0.0
2006,192,11,0,0,0,5.729166666666667,0.0,0.0,0.0
2007,268,6,2,2,0,2.2388059701492535,0.746268656716418,0.746268656716418,0.0
2008,256,14,0,0,0,5.46875,0.0,0.0,0.0
2009,270,11,0,0,0,4.074074074074074,0.0,0.0,0.0
2010,280,12,0,0,0,4.285714285714286,0.0,0.0,0.0
2011,310,11,0,0,0,3.5483870967741935,0.0,0.0,0.0
2012,414,23,0,0,0,5.555555555555555,0.0,0.0,0.0
2013,477,18,0,0,0,3.7735849056603774,0.0,0.0,0.0
2014,504,52,0,0,0,10.317460317460318,0.0,0.0,0.0
2015,504,94,0,0,0,18.650793650793652,0.0,0.0,0.0
2016,504,148,0,0,0,29.365079365079364,0.0,0.0,0.0
2017,502,170,1,1,0,33.864541832669325,0.199203187250996,0.199203187250996,0.0
2018,502,100,0,0,0,19.9203187250996,0.0,0.0,0.0
2019,504,110,0,0,0,21.825396825396826,0.0,0.0,0.0
2020,506,96,0,0,0,18.972332015810277,0.0,0.0,0.0
2021,504,55,0,0,0,10.912698412698413,0.0,0.0,0.0
2022,502,31,1,1,0,6.175298804780876,0.199203187250996,0.199203187250996,0.0
2023,500,62,0,0,0,12.4,0.0,0.0,0.0
2024,82,13,1,1,0,15.853658536585366,1.2195121951219512,1.2195121951219512,0.0
