Date,Days,CallPut,n_points,n_mono_viol,n_conv_viol,n_conv_interp,n_conv_extrap,flag_mono_ok,flag_conv_ok,flag_conv_interp_ok,flag_conv_extrap_ok
2004-02-18,30,C,18,1,0,0,0,False,True,True,True
2004-03-17,30,P,41,3,0,0,0,False,True,True,True
2004-07-21,30,C,17,1,0,0,0,False,True,True,True
2004-08-18,30,P,38,2,0,0,0,False,True,True,True
2004-09-15,30,P,41,7,0,0,0,False,True,True,True
2004-10-20,30,C,16,1,0,0,0,False,True,True,True
2004-11-17,30,C,20,1,0,0,0,False,True,True,True
2005-02-03,30,C,13,1,0,0,0,False,True,True,True
2005-02-16,30,C,13,1,0,0,0,False,True,True,True
2005-02-25,30,P,25,2,0,0,0,False,True,True,True
2005-03-16,30,C,16,1,0,0,0,False,True,True,True
2005-04-28,30,C,16,1,0,0,0,False,True,True,True
2005-05-18,30,C,14,1,0,0,0,False,True,True,True
2005-05-26,30,C,12,1,0,0,0,False,True,True,True
2005-07-20,30,C,13,2,0,0,0,False,True,True,True
2005-07-20,30,P,27,3,0,0,0,False,True,True,True
2005-08-17,30,P,37,1,0,0,0,False,True,True,True
2006-01-18,30,P,37,2,0,0,0,False,True,True,True
2006-02-15,30,C,13,1,0,0,0,False,True,True,True
2006-03-22,30,C,13,1,0,0,0,False,True,True,True
2006-05-03,30,P,28,4,0,0,0,False,True,True,True
2006-06-21,30,C,17,3,0,0,0,False,True,True,True
2006-06-21,30,P,46,3,0,0,0,False,True,True,True
2006-07-19,30,P,41,2,0,0,0,False,True,True,True
2006-07-27,30,C,17,1,0,0,0,False,True,True,True
2006-09-20,30,C,13,2,0,0,0,False,True,True,True
2006-11-15,30,C,15,3,0,0,0,False,True,True,True
2006-12-20,30,P,28,1,0,0,0,False,True,True,True
2007-01-17,30,P,26,2,0,0,0,False,True,True,True
2007-02-27,30,C,10,0,1,1,0,True,False,False,True
2007-02-27,30,P,3,0,1,1,0,True,False,False,True
2007-04-18,30,P,36,4,0,0,0,False,True,True,True
2007-08-22,30,P,55,4,0,0,0,False,True,True,True
2007-11-21,30,P,47,2,0,0,0,False,True,True,True
2007-11-27,30,P,23,1,0,0,0,False,True,True,True
2007-12-19,30,P,35,1,0,0,0,False,True,True,True
2008-02-20,30,P,48,4,0,0,0,False,True,True,True
2008-02-27,30,P,39,4,0,0,0,False,True,True,True
2008-02-28,30,P,38,2,0,0,0,False,True,True,True
2008-03-19,30,C,33,5,0,0,0,False,True,True,True
2008-04-16,30,P,43,4,0,0,0,False,True,True,True
2008-05-02,30,P,42,1,0,0,0,False,True,True,True
2008-05-21,30,C,21,1,0,0,0,False,True,True,True
2008-05-30,30,P,33,2,0,0,0,False,True,True,True
2008-07-16,30,C,23,2,0,0,0,False,True,True,True
2008-10-22,30,C,68,6,0,0,0,False,True,True,True
2008-10-31,30,C,52,2,0,0,0,False,True,True,True
2008-11-03,30,C,49,3,0,0,0,False,True,True,True
2008-11-04,30,C,42,4,0,0,0,False,True,True,True
2008-11-06,30,C,58,2,0,0,0,False,True,True,True
2009-01-21,30,C,44,4,0,0,0,False,True,True,True
2009-01-30,30,C,40,1,0,0,0,False,True,True,True
2009-02-03,30,C,40,3,0,0,0,False,True,True,True
2009-02-05,30,C,39,1,0,0,0,False,True,True,True
2009-02-18,30,C,52,6,0,0,0,False,True,True,True
2009-03-18,30,C,46,2,0,0,0,False,True,True,True
2009-08-19,30,C,29,2,0,0,0,False,True,True,True
2009-08-21,30,C,31,3,0,0,0,False,True,True,True
2009-11-20,30,C,27,3,0,0,0,False,True,True,True
2009-12-16,30,C,24,2,0,0,0,False,True,True,True
2009-12-31,30,C,23,2,0,0,0,False,True,True,True
2010-01-04,30,C,19,1,0,0,0,False,True,True,True
2010-01-20,30,C,20,1,0,0,0,False,True,True,True
2010-02-17,30,C,27,5,0,0,0,False,True,True,True
2010-03-17,30,C,20,2,0,0,0,False,True,True,True
2010-04-21,30,C,17,1,0,0,0,False,True,True,True
2010-05-19,30,C,29,1,0,0,0,False,True,True,True
2010-06-07,30,C,31,2,0,0,0,False,True,True,True
2010-06-09,30,C,33,3,0,0,0,False,True,True,True
2010-08-27,30,P,49,5,0,0,0,False,True,True,True
2010-09-15,30,C,22,1,0,0,0,False,True,True,True
2010-11-17,30,C,27,5,0,0,0,False,True,True,True
2010-12-22,30,C,18,1,0,0,0,False,True,True,True
2011-01-19,30,C,22,4,0,0,0,False,True,True,True
2011-01-28,30,C,19,2,0,0,0,False,True,True,True
2011-02-01,30,C,17,1,0,0,0,False,True,True,True
2011-02-16,30,C,18,3,0,0,0,False,True,True,True
2011-03-03,30,P,38,1,0,0,0,False,True,True,True
2011-04-20,30,C,16,1,0,0,0,False,True,True,True
2011-04-29,30,C,17,2,0,0,0,False,True,True,True
2011-06-03,30,P,33,1,0,0,0,False,True,True,True
2011-06-15,30,C,22,2,0,0,0,False,True,True,True
2011-08-17,30,C,31,4,0,0,0,False,True,True,True
2011-12-13,30,C,26,1,0,0,0,False,True,True,True
2012-01-18,30,C,21,1,0,0,0,False,True,True,True
2012-01-26,30,C,20,2,0,0,0,False,True,True,True
2012-02-15,30,C,22,2,0,0,0,False,True,True,True
2012-03-13,30,C,16,1,0,0,0,False,True,True,True
2012-04-18,30,C,21,3,0,0,0,False,True,True,True
2012-05-16,30,C,23,1,0,0,0,False,True,True,True
2012-05-17,30,C,24,1,0,0,0,False,True,True,True
2012-05-23,30,C,20,1,0,0,0,False,True,True,True
2012-05-30,30,C,23,1,0,0,0,False,True,True,True
