Año,N,Corr,R²,Alpha,Beta,RMSE,IV_ATM_mean,VIX_mean
2003,96,0.998,0.997,-0.0245,1.0215,0.0199,0.2096,0.2293
2004,93,0.978,0.957,0.0082,0.8091,0.022,0.1345,0.1561
2005,96,0.971,0.943,-0.0026,0.8671,0.02,0.1097,0.1295
2006,96,0.968,0.937,0.0086,0.7787,0.0195,0.1058,0.1248
2007,134,0.992,0.985,-0.0186,0.9606,0.0262,0.149,0.1744
2008,128,0.998,0.996,0.0025,0.9054,0.0323,0.2903,0.3178
2009,135,0.996,0.991,-0.0152,0.9287,0.0394,0.2823,0.3203
2010,140,0.993,0.986,0.0096,0.8043,0.038,0.1963,0.2321
2011,155,0.996,0.992,-0.0131,0.9019,0.0394,0.2151,0.253
2012,207,0.97,0.941,-0.0035,0.8647,0.0282,0.1495,0.177
2013,239,0.964,0.93,-0.0193,0.9541,0.0262,0.1164,0.1422
2014,252,0.986,0.971,-0.0079,0.837,0.0315,0.1108,0.1417
2015,252,0.994,0.988,0.0004,0.8081,0.0329,0.1351,0.1667
2016,252,0.989,0.979,-0.007,0.8535,0.0312,0.128,0.1583
2017,251,0.91,0.828,-0.0132,0.8397,0.0315,0.0799,0.1109
2018,251,0.975,0.95,-0.0143,0.8422,0.0425,0.1258,0.1664
2019,252,0.981,0.962,-0.0209,0.932,0.0318,0.1225,0.1539
2020,253,0.996,0.991,-0.0282,0.9095,0.0567,0.2379,0.2925
2021,252,0.971,0.943,-0.0058,0.7646,0.0532,0.1445,0.1966
2022,251,0.953,0.907,-0.0068,0.8772,0.0403,0.218,0.2562
2023,250,0.98,0.96,-0.0221,0.9493,0.0313,0.138,0.1687
2024,40,0.871,0.758,0.0158,0.6733,0.0292,0.1078,0.1367
